,Facility Name,Site Address,Last Inspection Date,url,category,Facility Type
0,10 Buck Pizza,10 Bell St  Ingersoll ON N5C 2N5,09/01/2023,location.href = '/Portal/Facility/Details/37354ac2-e351-40c4-9737-a98fe94cfe5a' ,Food,
1,10 Buck Pizza,974 Dundas St  Woodstock ON N4S 1H3,09/29/2023,location.href = '/Portal/Facility/Details/51c66f0e-d69d-4755-b88f-d4a1587e06d9' ,Food,
2,1295820 BC Ltd dba Canco #709 St Thomas,10075 Sunset Drive  St Thomas ON N5P 3T2,,location.href = '/Portal/Facility/Details/465e21c2-bf71-4a1e-918a-e80de8410018' ,Food,
3,1295829 BC Ltd Canco #709 St Thomas,10075 Sunset Drive  St. Thomas ON N5P 3T2,01/06/2023,location.href = '/Portal/Facility/Details/aefb2dca-f6e3-4f7e-95d9-5ddd8b58a476' ,Food,
4,13590950 CANADA INC o/a Area 51 1/2 distributing,145 Main St  Woodstock ON N4S 1J2,03/22/2022,location.href = '/Portal/Facility/Details/5a82bf2c-c1d5-404a-9993-0017cd645fa9' ,Food,
5,1881 Steakhousebar,1093 Talbot St  St. Thomas Ontario N5P 1G4,08/17/2023,location.href = '/Portal/Facility/Details/081ef2dc-535a-4d70-926f-2fef578289bc' ,Food,
6,"1909 Culinary Academy, The",5183 Trussler Rd  Ayr ON N0B 1E0,03/15/2023,location.href = '/Portal/Facility/Details/d1af0c04-f860-4989-af45-9db3286e7383' ,Food,
7,1Password Park Concession - The Ice Box,355 Burwell Road  St. Thomas ON N5P 4M3,05/17/2023,location.href = '/Portal/Facility/Details/bf936b2c-ce45-419d-85d5-1d000aed6113' ,Food,
8,247 Pizza The Taj Sweets & Restaurant,10-656 Dundas St  Woodstock ON N4S 1E3,,location.href = '/Portal/Facility/Details/a36bb037-3ccb-4d41-b922-f3d4f70038e6' ,Food,
9,782 Taphouse,301 Bridge St.  Port Stanley ON N5L 1C3,07/06/2023,location.href = '/Portal/Facility/Details/c704f3c3-574a-4147-b0f2-54c56a660c8c' ,Food,
10,7-Eleven,3 Huron St  Woodstock ON N4S 6Y9,09/26/2023,location.href = '/Portal/Facility/Details/2d15c687-e49e-46bc-b6d8-f502fd04706d' ,Food,
11,A&N Chill Treats,9471 Plank Road  Straffordville Ontario N0J 1Y0,05/01/2023,location.href = '/Portal/Facility/Details/8d84f2a9-9351-4cc5-9468-bd2e1014f108' ,Food,
12,A&W,170 Culloden Rd  Ingersoll ON N5C 3J7,10/12/2023,location.href = '/Portal/Facility/Details/f9fafc52-b758-48e8-8bcc-9cf5ec60d3e8' ,Food,
13,A&W,533 Broadway St  Tillsonburg ON N4G 3S8,05/10/2023,location.href = '/Portal/Facility/Details/39870f6c-d9c9-4ea3-9fd6-d7106cef1563' ,Food,
14,A&W,451 Norwich Ave  Woodstock ON N4S 3W4,10/11/2023,location.href = '/Portal/Facility/Details/9a4b03a6-9281-4c56-8465-cda53713c4b8' ,Food,
15,A&W,657 John St N  Aylmer ON N5H 2B6,04/28/2023,location.href = '/Portal/Facility/Details/db49d2cc-b371-4af0-a9c5-f63a28bd04dd' ,Food,
16,A&W - Dutton ONroute,27585 ON-401 E  Dutton ON N0L 1J0,10/17/2023,location.href = '/Portal/Facility/Details/ecd53b6d-35a9-4853-b44d-36e8e7e4837c' ,Food,
17,A&W - West Lorne ONroute,27900 ON-401 W  West Lorne ON N0L 2P0,12/19/2022,location.href = '/Portal/Facility/Details/f0b197e6-fe68-42e2-839f-cdb3640da579' ,Food,
18,A&W St. Thomas,1010 Talbot Street  St. Thomas Ontario N5P 4N2,,location.href = '/Portal/Facility/Details/e450f114-7072-4068-b1bd-b073b6fdd86d' ,Food,
19,A. J. Baker Public School - Before & After School Program,195910 19th Line  Lakeside ON N0M 2C0,05/18/2023,location.href = '/Portal/Facility/Details/b3fa1ced-5f70-465e-9a25-376a399ca4bd' ,Food,
20,A. J. Baker Public School - Nourishment Program,195910 19th Line  Kintore ON N0M 2C0,05/18/2023,location.href = '/Portal/Facility/Details/9d538d7d-9459-4c83-aac8-382baf910b2f' ,Food,
21,A. J. Baker Public School-Milk Program,195910 19th Line Kintore  ON N0M 2C0,,location.href = '/Portal/Facility/Details/504eaf4f-36e2-4f34-a287-37f8c13c91bf' ,Food,
22,A.D.D Warehouse (Presstran),1155 Talbot Street  St. Thomas Ontario N5P 1G6,03/21/2023,location.href = '/Portal/Facility/Details/e1e2ccc2-0f50-4d46-b418-f3b585448e63' ,Food,
23,Abby Mae's Gluten Free Bakery,2-300 Talbot St West  Aylmer ON N5H 1K2,04/28/2023,location.href = '/Portal/Facility/Details/34a15120-b617-4d37-a557-4507bbb9e727' ,Food,
24,ABC Restaurant,123 Main Street  St. Thomas ON,02/12/2019,location.href = '/Portal/Facility/Details/4a518815-fd9b-4de1-b5e5-28c9e6a2b4e1' ,Food,
0,AgeCare Aylmer Long Term Care Residence - Institutional Food,465 Talbot St W  Aylmer ON N5H 1K8,07/26/2023,location.href = '/Portal/Facility/Details/30e5af1e-7be9-4aab-abb8-73d0e68fc511' ,Food,
1,AJ Indian Grocery Store Inc.,2-371 Norwich Ave  Woodstock ON N4S 3W4,10/16/2023,location.href = '/Portal/Facility/Details/4ab146ae-9ddc-4d24-9327-5ba846b0c354' ,Food,
2,Aldborough Public School - Before & After School Program,11443 Furnival Rd  Rodney ON N0L 2C0,12/07/2022,location.href = '/Portal/Facility/Details/d0790dda-30bd-49d9-91d2-ca20f376334e' ,Food,
3,Aldborough Public School Nourishment Program,11443 Furnival Rd  Rodney ON N0L 2C0,12/06/2022,location.href = '/Portal/Facility/Details/55ebc1b9-c89e-42e9-9e80-f2015935aa5f' ,Food,
4,Alexandra Hospital,29 Noxon St  Ingersoll ON N5C 3V6,07/20/2023,location.href = '/Portal/Facility/Details/0f39f0b1-4243-4c24-b184-4e8d88d35a58' ,Food,
5,Algonquin Public School - Before & After School Program,59 Algonquin St  Woodstock ON N4T 1R8,10/25/2023,location.href = '/Portal/Facility/Details/93d7bbc1-9d7d-4d39-9c61-583c4ce0ea92' ,Food,
6,Algonquin Public School - Milk Program,59 Algonquin St  Woodstock ON N4T 1R8,,location.href = '/Portal/Facility/Details/1cef3108-ad6e-428d-b812-23fd389780c8' ,Food,
7,Algonquin Public School - Nourishment Program,59 Algonquin Rd  Woodstock ON N4T 1R8,10/25/2023,location.href = '/Portal/Facility/Details/a677f32a-6107-4f8e-8eae-4f9b695b27c2' ,Food,
8,All About Health - Remedy Rx,3-360 Norwich Ave  Woodstock ON N4S 3W2,08/17/2023,location.href = '/Portal/Facility/Details/91e10e1b-e9ca-413c-8bbe-9d8387a8d0f6' ,Food,
9,Al's Pizzeria,1-114 Confederation Dr  St Thomas ON N5P 3P4,09/11/2023,location.href = '/Portal/Facility/Details/e89781ee-aa8d-401b-9704-6aad4af59cf8' ,Food,
10,Al's Pizzeria,310 Wellington St  St Thomas ON N5R 2T1,06/14/2023,location.href = '/Portal/Facility/Details/9a333161-5836-4f3e-9b38-33569281d5c4' ,Food,
11,Andy’s Legendary Pizza,9-43 Albert St W  Plattsville ON N0J 1S0,10/25/2023,location.href = '/Portal/Facility/Details/c2845b6e-d5f4-495f-a813-c2bd640b7bae' ,Food,
12,Angela's Takeaway Food Company,45 Broadway St  Tillsonburg ON N4G 3P3,04/28/2023,location.href = '/Portal/Facility/Details/0b43e083-82a5-416b-9b71-7e714ccd5430' ,Food,
13,Annandale Public School,60 Tillson Ave  Tillsonburg ON N4G 3A1,06/15/2023,location.href = '/Portal/Facility/Details/319c33b3-c678-4538-9892-b1c08d5d9269' ,Food,
14,Annandale Public School - Before & After School Program,60 Tillson Ave  Tillsonburg ON N4G 3A1,06/15/2023,location.href = '/Portal/Facility/Details/4dbc793f-dc0b-4520-bcb7-16b3d791d6b3' ,Food,
15,Annandale Public School - Milk Program,60 Tillson Ave  Tillsonburg ON N4G 3A1,06/16/2023,location.href = '/Portal/Facility/Details/240f81e4-f509-463f-bdad-21d19a335982' ,Food,
16,Anything Used,46361 Sparta Line  Sparta ON N0L 2H0,03/24/2023,location.href = '/Portal/Facility/Details/8f82ec99-4f8d-4e8d-a5e5-75370c91d5ea' ,Food,
17,Anytime Fitness,111 Charles Street East  Ingersoll ON N5C 1J9,,location.href = '/Portal/Facility/Details/0a7620f2-f0a1-43f5-bf9d-82eca98b64d1' ,Food,
18,App Shack,3-930 Talbot St  St Thomas ON N5P 1E7,11/26/2021,location.href = '/Portal/Facility/Details/d9b6abfa-0ec4-4f0e-a7e6-1d3c4ab81e72' ,Food,
19,ARCHES at Caressant Care,81 Fyfe Ave  Woodstock ON N4S 3S6,,location.href = '/Portal/Facility/Details/c5f358c5-ed01-4f8e-bd97-c7295961c4fd' ,Food,
20,Around The Corner Variety,36 Bidwell St  Tillsonburg ON N4G 3T5,01/12/2023,location.href = '/Portal/Facility/Details/c84766bf-3dde-4c97-9bcd-c93ede1d1270' ,Food,
21,"Art and Soul Cafe, The",291 Bridge St  Port Stanley ON N5L 1C2,10/11/2023,location.href = '/Portal/Facility/Details/fad0674b-ec11-4cbd-8ae1-8dab1e28c295' ,Food,
22,Arthur Voaden - Viking Catering,41 Flora St  St Thomas ON N5P 2X5,05/01/2023,location.href = '/Portal/Facility/Details/88c152d7-e7cd-4025-97e4-0eca99e3af0c' ,Food,
23,Arthur Voaden Secondary School - Nourishment Program,41 Flora St  St. Thomas ON N5P 2X5,05/01/2023,location.href = '/Portal/Facility/Details/e0db23ff-373c-440a-8562-9691f69d033f' ,Food,
24,Artisan Pantry,107 Wilson St  Woodstock ON N4S 3N8,05/13/2022,location.href = '/Portal/Facility/Details/dd550d21-af9d-42c6-9788-c9e44bfb407f' ,Food,
0,Asian Food Mart Inc.,357 Norwich Ave  Woodstock ON N4S 3W1,10/06/2022,location.href = '/Portal/Facility/Details/d03272da-ae99-4cf4-aba9-bd8b01701b45' ,Food,
1,Asuka Japanese Cuisine,825 Talbot St  St. Thomas ON N5P 1E2,08/10/2023,location.href = '/Portal/Facility/Details/5fac6f93-d384-46a8-99ae-8b342ef86b87' ,Food,
2,Athletic Park Concession,95 St George St  St Thomas ON,,location.href = '/Portal/Facility/Details/fc2d5415-c0d4-43c7-8e0c-8a3eb97907dc' ,Food,
3,Aunt Tammy's Pizza,29 Robinson Street  Port Burwell ON N0J 1T0,06/21/2023,location.href = '/Portal/Facility/Details/4ba10ffe-4b1e-4af4-b54a-05d15a311531' ,Food,
4,Avon Feedmill,15538 Putnam Road  Putnam Ontario N0L 2J0,05/10/2023,location.href = '/Portal/Facility/Details/302b71f6-1e2c-4db9-aec0-474d220acfa7' ,Food,
5,Aylmer Burger Stand,375 Talbot St E  Aylmer ON N5H 1J4,05/31/2023,location.href = '/Portal/Facility/Details/b46471a0-c528-47e5-bf93-8832224a3630' ,Food,
6,Aylmer Curling Club - Banquet Facility,115 Pine St E  Aylmer ON N5H 1N5,,location.href = '/Portal/Facility/Details/b4e1e79f-ca3b-4ab2-94ca-6af2cb174c96' ,Food,
7,Aylmer Dollar and Discount,128 Talbot St E  Aylmer ON N5H 1H5,,location.href = '/Portal/Facility/Details/724e4dfa-c11a-490b-8728-17f8cfc864c5' ,Food,
8,Aylmer Gas & Convenience - Shell Gas Station,567 John St N  Aylmer ON N5H 2B6,,location.href = '/Portal/Facility/Details/2d950608-9cf4-4c8c-8775-04617ecbd6d8' ,Food,
9,Aylmer Retirement Residence - Institutional Food,258 Talbot St E  Aylmer ON N5H 1H7,09/14/2023,location.href = '/Portal/Facility/Details/3c7e3c99-d378-40b6-9eb6-162d5ffef472' ,Food,
10,Aylmer Sales Arena (Nutritional Bakery),51 Murray St  Aylmer ON N5H 2A6,,location.href = '/Portal/Facility/Details/2f39cadf-8216-4325-867c-3e58845a7dc2' ,Food,
11,Aylmer Sales Arena- Janzi's Cheese,51 Murray Street  Aylmer Ontario N5H 2A4,,location.href = '/Portal/Facility/Details/7d5837d9-aca3-4db5-af06-891d7d41ba0e' ,Food,
12,Aylmer Sales Arena- John Gasho Farm Produce,51 Murray Street  Aylmer Ontario N5H 2A4,05/30/2023,location.href = '/Portal/Facility/Details/5dbc8e8a-823c-4a43-a5e7-426b7647d7a8' ,Food,
13,Aylmer Sales Arena- Paletta Paradise,51 Murray Street  Aylmer Ontario N5H 2A4,,location.href = '/Portal/Facility/Details/3e01d18e-ed6f-4e21-bda9-8ee1e0acdfbf' ,Food,
14,Aylmer Sales Arena- Peters Produce,51 Murray Street  Aylmer Ontario N5H 2A4,05/30/2023,location.href = '/Portal/Facility/Details/949017b0-9423-4ee6-aa79-b7cff94a19ec' ,Food,
15,Aylmer Sales Arena- The Wellington Market,51 Murray Street  Aylmer Ontario N5P 2G0,,location.href = '/Portal/Facility/Details/fa4725b8-1f02-4c31-8eb9-a9e61457477a' ,Food,
16,Aylmer Sales Arena- TheSweetShop31,51 Murray Street  Aylmer Ontario,06/05/2023,location.href = '/Portal/Facility/Details/db252532-d1f4-43a7-8651-1c7d3c987103' ,Food,
17,Aylmer Sales Arena- Wanda's Spicy Connection,51 Murray Street  Aylmer Ontario N5H 2R4,06/05/2023,location.href = '/Portal/Facility/Details/0c2e4b1b-2363-46c6-a5f6-34cf6accdb45' ,Food,
18,Aylmer Submarine,39 Talbot St W  Aylmer ON N5H 1J6,10/31/2022,location.href = '/Portal/Facility/Details/d5db54c9-a11d-4e38-afa7-2cf3cf4123ab' ,Food,
19,B & J Variety,209 Graham St  West Lorne ON N0L 2P0,05/19/2023,location.href = '/Portal/Facility/Details/0201023c-1cf8-40c5-8fbe-13a3c62ead27' ,Food,
20,Babu's Mart,308 Wellington Street  St. Thomas Ontario N5R 2S9,08/23/2023,location.href = '/Portal/Facility/Details/b98bc008-8322-4531-97b9-3044352ae2f6' ,Food,
21,"Back Alley Bar and Grill, The",18 Princess Ave  St. Thomas ON N5R 3V2,05/26/2023,location.href = '/Portal/Facility/Details/9b29f474-500c-4edd-9854-3244757d8739' ,Food,
22,Balkan Eats Inc,2-500 Norwich Ave  Woodstock ON N4S 3W5,09/05/2023,location.href = '/Portal/Facility/Details/eef94724-d036-4210-9807-3af5deae980e' ,Food,
23,Banana Leaf,369 Dundas St  Woodstock ON N4S 1B6,09/14/2023,location.href = '/Portal/Facility/Details/92f01439-045a-443c-b77f-3a1390f5b017' ,Food,
24,barBURRITO,7-146 Culloden Rd  Ingersoll ON N5C 3R2,08/02/2023,location.href = '/Portal/Facility/Details/3ee0db4f-af00-4d8f-b484-b7b8e60feadd' ,Food,
0,barBURRITO,A1009-200 Broadway St  Tillsonburg ON N4G 5A7,07/11/2023,location.href = '/Portal/Facility/Details/07c0357c-6d50-41d2-8efb-b5798acfdfa6' ,Food,
1,BarBurrito,14-1010 Talbot Street  St. Thomas Ontario N5P 4N2,10/13/2023,location.href = '/Portal/Facility/Details/18233926-cb9d-49dd-aa73-7261f2f3b709' ,Food,
2,barBURRITO,925 Dundas St Unit 7  Woodstock ON N4S 8V3,05/24/2023,location.href = '/Portal/Facility/Details/145d1487-2fdc-4b90-b25a-e15161a468f7' ,Food,
3,"Bargain Shop, The",154 Talbot St W  Aylmer ON N5H 1K1,08/22/2022,location.href = '/Portal/Facility/Details/9936ed6b-3fa2-4d09-a043-dd8ee448f98d' ,Food,
4,Barnacle Beer House and Eatery,170 William St  Port Stanley ON N5L 1E4,06/15/2023,location.href = '/Portal/Facility/Details/e14be836-5c63-4d8f-afea-1ba39f999cf4' ,Food,
5,"Barnyard, The",559 Dundas St  Woodstock ON N4S 1C6,03/30/2023,location.href = '/Portal/Facility/Details/503c25f1-03d3-4fa5-8d26-bbb3597f2cd7' ,Food,
6,Bartley's Ice Cream,853 Dundas St  Woodstock ON N4S 1G5,09/26/2023,location.href = '/Portal/Facility/Details/3bef63fe-7a1e-42fe-b78e-5e0c8f12ab29' ,Food,
